Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+
Astros,6394,10.1%,18.2%,0.55,0.274,0.352,0.495,0.848,0.221,4.3,0.296,-3.7,-4.0,-1.8,996,191.8,0.355,125
Twins,6392,8.2%,20.9%,0.39,0.270,0.338,0.494,0.832,0.224,3.5,0.300,-6.5,4.9,-6.8,953,148.8,0.347,116
Yankees,6245,9.1%,23.0%,0.40,0.267,0.339,0.490,0.829,0.222,4.1,0.306,0.2,0.8,-1.8,928,141.7,0.346,117
Dodgers,6281,9.7%,21.6%,0.45,0.257,0.338,0.472,0.810,0.215,4.2,0.291,2.8,5.2,3.9,885,94.0,0.338,111
Red Sox,6475,9.1%,21.3%,0.43,0.269,0.340,0.466,0.806,0.197,4.3,0.313,-4.5,0.3,-2.8,915,100.1,0.338,106
Nationals,6267,9.3%,20.9%,0.45,0.265,0.342,0.454,0.796,0.190,5.1,0.306,-1.2,-2.3,7.2,869,80.3,0.336,103
Braves,6302,9.8%,23.3%,0.42,0.258,0.336,0.452,0.789,0.195,4.6,0.305,2.6,6.1,2.3,855,62.3,0.332,102
Cubs,6195,9.4%,23.6%,0.40,0.252,0.331,0.452,0.783,0.200,3.9,0.297,6.4,-4.0,-4.6,827,47.4,0.330,102
Rockies,6288,7.8%,23.9%,0.33,0.265,0.326,0.456,0.782,0.190,4.7,0.321,4.2,-0.2,-2.4,829,37.7,0.328,86
Athletics,6269,9.2%,21.3%,0.43,0.249,0.327,0.448,0.776,0.199,3.9,0.282,6.7,-5.9,-2.5,829,40.4,0.327,107
Mets,6290,8.2%,22.0%,0.37,0.257,0.328,0.442,0.770,0.185,3.8,0.299,-10.7,-2.5,-3.8,817,25.8,0.325,104
Brewers,6309,10.0%,24.8%,0.40,0.246,0.329,0.438,0.767,0.192,4.4,0.296,0.4,-0.6,6.1,814,20.3,0.324,97
Rays,6285,8.6%,23.8%,0.36,0.254,0.325,0.431,0.757,0.178,4.5,0.306,4.3,4.6,-0.5,795,3.9,0.321,102
Diamondbacks,6315,8.6%,21.5%,0.40,0.252,0.323,0.434,0.757,0.182,5.1,0.293,11.4,-1.5,8.4,787,-8.2,0.319,94
Indians,6124,9.2%,21.8%,0.42,0.250,0.323,0.432,0.756,0.183,4.5,0.289,2.8,-0.8,2.3,765,-5.3,0.319,94
Rangers,6204,8.6%,25.4%,0.34,0.248,0.319,0.431,0.750,0.183,5.2,0.304,2.2,3.2,6.6,766,-14.9,0.317,88
Angels,6251,9.4%,20.4%,0.46,0.247,0.324,0.422,0.746,0.175,4.0,0.281,-2.0,-5.2,1.1,770,-17.2,0.316,99
Phillies,6261,9.0%,23.2%,0.39,0.246,0.319,0.427,0.746,0.181,4.6,0.293,4.9,4.2,4.7,755,-33.1,0.314,91
Cardinals,6167,9.1%,23.0%,0.40,0.245,0.322,0.415,0.737,0.170,5.0,0.292,5.8,1.2,7.4,741,-35.4,0.314,94
Mariners,6199,9.5%,25.5%,0.37,0.237,0.316,0.424,0.740,0.187,4.7,0.287,6.8,7.2,-0.6,749,-31.5,0.314,98
Pirates,6228,6.8%,19.5%,0.35,0.265,0.321,0.420,0.741,0.156,4.5,0.309,-1.1,-0.6,-2.9,744,-39.6,0.313,92
Reds,6100,8.1%,23.5%,0.34,0.244,0.315,0.422,0.736,0.178,4.2,0.288,-10.0,-3.1,-3.6,722,-46.2,0.312,87
Blue Jays,6091,8.4%,24.9%,0.34,0.236,0.305,0.428,0.733,0.192,3.8,0.280,-5.7,0.0,-1.3,712,-54.3,0.310,92
White Sox,6042,6.3%,25.6%,0.24,0.261,0.314,0.414,0.728,0.153,3.9,0.329,6.0,2.0,-2.7,703,-57.4,0.309,93
Orioles,6189,7.5%,23.2%,0.32,0.246,0.310,0.415,0.725,0.168,4.5,0.293,1.8,-0.5,0.7,714,-65.4,0.308,88
Padres,6019,8.4%,26.3%,0.32,0.238,0.308,0.410,0.718,0.172,4.1,0.293,-1.7,-4.3,-5.1,673,-84.6,0.305,88
Royals,6080,7.5%,23.1%,0.32,0.247,0.309,0.401,0.710,0.154,5.1,0.301,-4.6,-0.5,3.4,670,-95.7,0.302,84
Giants,6170,7.7%,23.3%,0.33,0.239,0.302,0.392,0.694,0.153,3.8,0.290,-0.9,3.2,-5.7,641,-135.8,0.295,83
Tigers,6039,6.5%,26.4%,0.25,0.240,0.294,0.388,0.682,0.148,4.4,0.308,-7.4,0.7,-0.1,601,-158.9,0.290,77
Marlins,6045,6.5%,24.3%,0.27,0.241,0.298,0.375,0.673,0.134,3.6,0.300,-9.8,-9.1,-5.0,591,-170.1,0.288,79