Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,Off,Def,WAR
Astros,2309,6394,288,920,891,67,10.1%,18.2%,0.221,0.296,0.274,0.352,0.495,0.355,125,88.3,-9.5,196.3,-2.5,40.8
Dodgers,2413,6281,279,886,861,57,9.7%,21.6%,0.215,0.291,0.257,0.338,0.472,0.338,111,89.3,11.9,102.7,51.7,34.8
Yankees,2312,6245,306,943,904,55,9.1%,23.0%,0.222,0.306,0.267,0.339,0.490,0.346,117,90.0,-0.8,130.5,-14.5,32.7
Twins,2320,6392,307,939,906,28,8.2%,20.9%,0.224,0.300,0.270,0.338,0.494,0.347,116,89.7,-8.4,120.0,-26.7,31.0
Athletics,2363,6269,257,845,800,49,9.2%,21.3%,0.199,0.282,0.249,0.327,0.448,0.327,107,89.4,-1.7,53.2,18.3,28.5
Red Sox,2455,6475,245,901,857,68,9.1%,21.3%,0.197,0.313,0.269,0.340,0.466,0.338,106,89.9,-7.0,42.9,10.9,27.5
Braves,2411,6302,249,855,824,89,9.8%,23.3%,0.195,0.305,0.258,0.336,0.452,0.332,102,89.2,11.0,26.2,46.2,26.9
Nationals,2327,6267,231,873,824,116,9.3%,20.9%,0.190,0.306,0.265,0.342,0.454,0.336,103,88.6,3.7,28.8,35.8,26.0
Cubs,2429,6195,256,814,783,45,9.4%,23.6%,0.200,0.297,0.252,0.331,0.452,0.330,102,88.9,-2.2,10.1,45.0,24.9
Brewers,2514,6309,250,769,744,101,10.0%,24.8%,0.192,0.296,0.246,0.329,0.438,0.324,97,89.7,5.9,-20.4,64.6,24.2
Mets,2445,6290,242,791,767,56,8.2%,22.0%,0.185,0.299,0.257,0.328,0.442,0.325,104,89.1,-17.0,16.2,21.3,23.5
Diamondbacks,2418,6315,220,813,778,88,8.6%,21.5%,0.182,0.293,0.252,0.323,0.434,0.319,94,88.0,18.3,-32.3,68.5,23.4
Rays,2459,6285,217,769,730,94,8.6%,23.8%,0.178,0.306,0.254,0.325,0.431,0.321,102,89.5,8.4,27.5,-13.0,23.0
Cardinals,2413,6167,210,764,714,116,9.1%,23.0%,0.170,0.292,0.245,0.322,0.415,0.314,94,87.9,14.4,-31.5,61.4,22.3
Phillies,2431,6261,215,774,742,78,9.0%,23.2%,0.181,0.293,0.246,0.319,0.427,0.314,91,88.8,13.8,-59.8,71.3,20.8
Angels,2425,6251,220,769,734,65,9.4%,20.4%,0.175,0.281,0.247,0.324,0.422,0.316,99,88.0,-6.1,-17.2,4.6,20.3
Indians,2321,6124,223,769,731,103,9.2%,21.8%,0.183,0.289,0.250,0.323,0.432,0.319,94,89.5,4.3,-45.7,31.9,19.7
Mariners,2347,6199,239,758,730,115,9.5%,25.5%,0.187,0.287,0.237,0.316,0.424,0.314,98,87.4,13.4,-0.3,-50.1,16.4
Padres,2413,6019,219,682,652,70,8.4%,26.3%,0.172,0.293,0.238,0.308,0.410,0.305,88,88.9,-11.1,-110.0,52.5,13.4
Blue Jays,2354,6091,247,726,697,51,8.4%,24.9%,0.192,0.280,0.236,0.305,0.428,0.310,92,88.7,-7.0,-71.7,-25.7,11.5
Reds,2462,6100,227,701,679,80,8.1%,23.5%,0.178,0.288,0.244,0.315,0.422,0.312,87,87.4,-16.7,-118.1,34.5,11.1
White Sox,2311,6042,182,708,676,63,6.3%,25.6%,0.153,0.329,0.261,0.314,0.414,0.309,93,89.1,5.3,-48.2,-52.2,11.0
Pirates,2441,6228,163,758,722,64,6.8%,19.5%,0.156,0.309,0.265,0.321,0.420,0.313,92,88.4,-4.6,-68.2,-22.1,10.9
Rockies,2452,6288,224,835,803,71,7.8%,23.9%,0.190,0.321,0.265,0.326,0.456,0.328,86,88.5,1.6,-116.6,16.8,10.1
Giants,2493,6170,167,678,655,47,7.7%,23.3%,0.153,0.290,0.239,0.302,0.392,0.295,83,87.8,-3.4,-143.3,46.1,10.0
Royals,2269,6080,162,691,655,117,7.5%,23.1%,0.154,0.301,0.247,0.309,0.401,0.302,84,88.0,-1.7,-124.5,5.4,9.3
Rangers,2273,6204,223,810,765,131,8.6%,25.4%,0.183,0.304,0.248,0.319,0.431,0.317,88,89.4,12.0,-87.1,-37.5,9.2
Orioles,2386,6189,213,729,698,84,7.5%,23.2%,0.168,0.293,0.246,0.310,0.415,0.308,88,88.0,2.0,-89.9,-63.8,6.4
Marlins,2402,6045,146,615,593,55,6.5%,24.3%,0.134,0.300,0.241,0.298,0.375,0.288,79,88.3,-23.9,-195.4,26.4,2.6
Tigers,2316,6039,149,582,556,57,6.5%,26.4%,0.148,0.308,0.240,0.294,0.388,0.290,77,88.1,-6.8,-186.5,-53.8,-2.6